	cluster1	cluster2	cluster3	cluster4
1	835	699	810	840
2	520	857	847	859
3	805	898	599	705
4	P78	846	827	P62
5	633	556	871	739
6	613	831	504	587
7	605	660	951	903
8	435	750	828	809
9	830	902	71	560
10	829	P22	517	571
11	627	797	980	498
12	760	865	592	935
13	946	931	949	807
14	854	958	825	873
15	604	52	693	565
16	652	763	989	953
17	977	955	983	486
18	969	542	730	676
19	641	791	557	559
20	715	P44	218	P30
21	888	246	719	928
22	397	947	143	142
23	985	316	29	297
24	555	929	85	549
25	576	94	403	956
26	36	742	335	844
27	91	311	113	95
28	203	238	679	172
29	73	117	637	215
30	970	162	685	76
31	223	240	272	644
32	858	839	966	855
33	932	934	945	948
34	P42	950	921	920
35	939	940	933	938
36	917	927	941	930
37	944	P52	813	843
38	682	753	761	429
39	768	769	780	785
40	461	465	436	450
41	522	421	325	326
42	383	227	278	321
43	418	764	187	773
44	298	610	709	444
45	725	P53	P12	551
46	952	982	P29	P17
47	P21	P43	P15	P50
48	P18	P45	963	987
49	988	111	544	407
50	513	642	667	586
51	799	872	881	671
52	674	574	7	511
53	852	353	367	439
54	364	365	315	440
55	503	598	P8	826
56	926	824	833	856
57	P47	863	995	936
58	943	875	564	603
59	775	425	782	762
60	320	808	864	569
61	879	324	746	817
62	882	906	577	905
63	819	654	657	646
64	694	593	706	568
65	619	611	140	583
66	594	837	437	851
67	438	632	886	862
68	635	P61	869	P31
69	541	767	789	866
70	877	P60	P1	908
71	572	745	P36	351
72	759	194	128	161
73	P65	129	197	130
74	188	P56	22	260
75	678	66	720	28
76	46	49	33	153
77	975	986	960	974
78	286	170	538	5
79	90	43	89	309
80	537	655	212	225
81	534	546	241	287
82	606	237	88	171
83	201	539	110	669
84	615	688	257	345
85	686	736	206	454
86	512	957	670	213
87	274	147	973	959
88	961	967	904	942
89	P64	689	820	878
90	751	776	P59	794
91	230	265	681	84
92	23	124	77	474
